file,address,status,coords
knowledge/CHECKLIST-VISIT.md,,skip_bad_address,
knowledge/SCHEMA.md,,skip_bad_address,
knowledge/accommodation/central-city-hotel.md,"""проспект Калинина, 45, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0435526, 43.0663735]"
knowledge/accommodation/gold-star-hotel.md,"""Широкая улица, 109, Пятигорск, Ставропольский край""",skip_has_coords,"[44.055781, 43.0451006]"
knowledge/accommodation/olympos-hotel.md,"""Московская улица, 67, Пятигорск, Ставропольский край""",skip_has_coords,"[44.060995, 43.0534424]"
knowledge/accommodation/parus-hotel.md,"""Ивовая улица, 2, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0376425, 42.9953098]"
knowledge/accommodation/sanatoriy-don.md,"""ул. Лермонтова, 14, Пятигорск""   # подтверждено 2ГИС, 31.07.2026; на месте не сверено",skip_has_coords,"[44.039775, 43.0706669]"
knowledge/accommodation/sanatoriy-lermontova.md,"""ул. Лермонтова, 9, Пятигорск (администрация); комплекс из нескольких корпусов — Лермонтова 9/11/21, Академика Павлова 54, Машукская 2 и др.""   # подтверждено 2ГИС, 31.07.2026; на месте не сверено",skip_has_coords,"[44.0407418, 43.0775725]"
knowledge/accommodation/sanatoriy-lesnaya-polyana.md,"""Иноземцевское шоссе, 5, Пятигорск""   # подтверждено 2ГИС, 31.07.2026; на месте не сверено",skip_has_coords,"[44.039775, 43.0706669]"
knowledge/accommodation/sanatoriy-rus.md,"""Пятигорск, Ставропольский край (точный адрес — уточнить)""",skip_has_coords,"[44.039775, 43.0706669]"
knowledge/auto/avtomag-ermolova.md,"""ул. Ермолова, 12а, строение 3, Пятигорск""   # уточнено Alex, 30.07.2026",skip_has_coords,"[44.0432676, 43.0280648]"
knowledge/auto/avtomoyka-ermolova-16e.md,"""ул. Ермолова, 16Е, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0508514, 42.9920989]"
knowledge/auto/azs-lukoil-ermolova-46.md,"""ул. Ермолова, 46, Пятигорск""",skip_has_coords,"[44.0513668, 43.0001075]"
knowledge/auto/cordiant-shinny-centr.md,"""Кисловодское шоссе, 23 ст1, Пятигорск, Ставропольский край (2 филиала)""",skip_has_coords,"[44.052799, 42.9925796]"
knowledge/auto/fit-service.md,"""ул. Мира, 159, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0402084, 43.0435115]"
knowledge/auto/kontinental-88.md,"""Теплосерная улица, 152, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0340472, 43.0804413]"
knowledge/auto/moy-sam.md,"""Первая Бульварная улица, 22, Пятигорск, Ставропольский край""",skip_has_coords,"[44.0530476, 43.0640029]"
